kegg	kegg_ncbi	lastmajorreleaseaccession	similarity	assemblystatus	g	lineage	status
MESM	GCA_003952365.1	GCF_003952365.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MESO	GCA_001889605.1	GCF_001889605.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MAMO	GCA_001686985.1	GCF_001686985.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MLN	GCA_001676765.1	GCF_001676765.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MESW	GCA_001672455.2	GCF_001672455.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MAM	GCA_000230995.3	GCF_000230995.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MCI	GCF_000185905.1	GCF_000185905.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MOP	GCA_000176035.2	GCF_000176035.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
MLO	GCA_000009625.1	GCF_000009625.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	OK
HOE	GCA_001011155.1	GCF_001011155.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea	OK
MES	GCA_000014245.1	GCF_000014245.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Chelativorans; unclassified Chelativorans	OK
AMIH	GCA_003071665.1	GCF_003071665.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Aminobacter; unclassified Aminobacter	OK
AAK	GCA_001605015.1	GCF_001605015.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Aminobacter	OK
MTW	GCA_002752655.1	GCF_002752655.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Methylosinus	OK
MSC	GCA_000304315.1	GCF_000304315.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Methylocystis; unclassified Methylocystis	OK
MPAR	GCA_009685195.1	GCF_009685195.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Methylocystis	OK
MHEY	GCA_004802635.2	GCF_004802635.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Methylocystis	OK
MROS	GCA_003855495.1	GCF_003855495.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Methylocystis	OK
MBRY	GCA_002117405.1	GCF_002117405.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Methylocystis	OK
MCG	GCA_000828475.1	GCF_000828475.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methyloceanibacter	OK
MICO	GCA_009363855.1	GCF_009363855.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Microvirga; unclassified Microvirga	OK
MIV	GCA_003151255.1	GCF_003151255.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Microvirga; unclassified Microvirga	OK
MOC	GCA_002741015.1	GCF_002741015.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Microvirga	OK
MZA	GCA_002117815.2	GCF_002117815.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum	OK
MDI	GCA_000083545.1	GCF_000083545.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum	OK
MEA	GCA_000022685.1	GCF_000022685.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum	OK
MCH	GCA_000021845.1	GCF_000021845.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum	OK
MPO	GCA_000019945.1	GCF_000019945.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum	OK
MEX	GCA_000018845.1	GCF_000018845.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum	OK
METX	GCA_003254375.1	GCF_003254375.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MTEA	GCA_003173755.1	GCF_003173755.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
METI	GCA_003173735.1	GCF_003173735.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
METS	GCA_003173715.1	GCF_003173715.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
METD	GCA_003111705.1	GCF_003111705.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MPHY	GCA_001936175.1	GCF_001936175.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MAQU	GCA_001548015.1	GCF_001548015.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
META	GCA_001542815.1	GCF_001542815.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MOR	GCA_000757795.1	GCF_000757795.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MMES	GCA_000364445.2	GCF_000364445.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MNO	GCA_000022085.1	GCF_000022085.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MRD	GCA_000019725.1	GCF_000019725.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
MET	GCA_000019365.1	GCF_000019365.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium	OK
YTI	GCA_008000755.1	GCF_008000755.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Youhaiella	OK
RHZ	GCA_001579845.1	GCF_001579845.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Rhodoplanes; unclassified Rhodoplanes	OK
RVA	GCA_000166055.1	GCF_000166055.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Rhodomicrobium	OK
PHL	GCA_000230555.1	GCF_000230555.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pelagibacterium	OK
MMYR	GCA_003433515.1	GCF_003433515.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Maritalea	OK
HMC	GCA_000253295.1	GCF_000253295.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; unclassified Hyphomicrobium	OK
HNI	GCA_000503895.1	GCF_000503895.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium	OK
HDT	GCA_000230975.3	GCF_000230975.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium	OK
HDN	GCA_000143145.1	GCF_000143145.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium	OK
FIL	GCA_000981565.1	GCF_000981565.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Filomicrobium	OK
FIY	GCA_000981545.1	GCF_000981545.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Filomicrobium	OK
DEA	GCA_007859655.1	GCF_007859655.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Devosia	OK
DEI	GCA_002949085.1	GCF_002949085.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Devosia	OK
DEQ	GCA_001185205.1	GCF_001185205.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Devosia	OK
BLAG	GCA_003966715.1	GCF_003966715.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Blastochloris	OK
BVR	GCA_001402875.1	GCF_001402875.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Blastochloris	OK
HDI	GCA_900231165.1	GCF_900231165.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hartmannibacter	OK
BRN	GCA_003432385.1	GCF_003432385.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Cohaesibacteraceae; Breoghania; unclassified Breoghania	OK
CHEL	GCA_001271345.1	GCF_001271345.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Chelatococcaceae; Chelatococcus; unclassified Chelatococcus	OK
CDQ	GCA_001887265.1	GCF_001887265.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Chelatococcaceae; Chelatococcus	OK
OCH	GCA_002278035.1	GCF_002278035.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum	OK
OPS	GCA_001652485.1	GCF_001652485.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum	OK
OAH	GCA_000742955.1	GCF_000742955.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum	OK
OAN	GCA_000017405.1	GCF_000017405.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum	OK
BRJ	GCA_001971625.1	GCF_001971625.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; unclassified Brucella	OK
BRU	GCA_001715385.1	GCF_001715385.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; unclassified Brucella	OK
BVL	GCA_900000005.1	GCF_900000005.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSW	GCA_000755105.1	GCF_000755105.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMEL	GCA_000740415.1	GCF_000740415.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BABO	GCA_000740375.1	GCF_000740375.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMEE	GCA_000740355.1	GCF_000740355.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BCAR	GCA_000740335.1	GCF_000740335.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BABT	GCA_000740295.1	GCF_000740295.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BPV	GCA_000740275.1	GCF_000740275.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSZ	GCA_000740255.1	GCF_000740255.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BABR	GCA_000740215.1	GCF_000740215.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BABU	GCA_000740195.1	GCF_000740195.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BABC	GCA_000740175.1	GCF_000740175.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BABS	GCA_000740155.1	GCF_000740155.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BABB	GCA_000740135.1	GCF_000740135.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSUI	GCA_000699025.1	GCF_000699025.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSUC	GCA_000698325.1	GCF_000698325.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSUV	GCA_000698285.1	GCF_000698285.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSUP	GCA_000698245.1	GCF_000698245.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BCAS	GCA_000691585.1	GCF_000691585.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSF	GCA_000600055.1	GCF_000600055.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BCEE	GCA_000590815.1	GCF_000590815.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BCET	GCA_000590795.1	GCF_000590795.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSK	GCA_000238195.1	GCF_000238195.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BAA	GCA_000238175.1	GCF_000238175.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSV	GCA_000236255.1	GCF_000236255.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMW	GCA_000227645.1	GCF_000227645.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BSI	GCA_000223195.1	GCF_000223195.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BPP	GCA_000221005.1	GCF_000221005.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMG	GCA_000192885.1	GCF_000192885.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMZ	GCA_000192725.1	GCF_000192725.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMF	GCA_000054005.1	GCF_000054005.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMR	GCA_000022745.1	GCF_000022745.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMI	GCA_000022625.1	GCF_000022625.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMT	GCA_000018905.1	GCF_000018905.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMC	GCA_000018725.1	GCF_000018725.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BCS	GCA_000018525.1	GCF_000018525.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BOV	GCA_000016845.1	GCF_000016845.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMB	GCA_000008145.1	GCF_000008145.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BMS	GCA_000007505.1	GCF_000007505.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
BME	GCA_000007125.1	GCF_000007125.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella	OK
VGO	GCA_002355335.1	GCF_002355335.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Variibacter	OK
RPA	GCA_000195775.1	GCF_000195775.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas	OK
RPX	GCA_000177255.2	GCF_000177255.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas	OK
RPT	GCA_000020445.1	GCF_000020445.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas	OK
RPE	GCA_000014825.1	GCF_000014825.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas	OK
RPC	GCA_000013745.1	GCF_000013745.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas	OK
RPD	GCA_000013685.1	GCF_000013685.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas	OK
RPB	GCA_000013365.1	GCF_000013365.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas	OK
OCO	GCA_000218585.1	GCF_000218585.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Oligotropha	OK
OCG	GCA_000218565.1	GCF_000218565.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Oligotropha	OK
OCA	GCA_000021365.1	GCF_000021365.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Oligotropha	OK
NHA	GCA_000013885.1	GCF_000013885.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Nitrobacter	OK
NWI	GCA_000012725.1	GCF_000012725.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Nitrobacter	OK
BRO	GCA_900176205.1	GCF_900176205.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; unclassified Bradyrhizobium	OK
BRAD	GCA_900011245.1	GCF_900011245.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; unclassified Bradyrhizobium	OK
BRK	GCA_002831585.1	GCF_002831585.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; unclassified Bradyrhizobium	OK
BRC	GCA_000296215.2	GCF_000296215.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; unclassified Bradyrhizobium	OK
BRS	GCA_000284275.1	GCF_000284275.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; unclassified Bradyrhizobium	OK
BRA	GCA_000026145.1	GCF_000026145.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; unclassified Bradyrhizobium	OK
BBT	GCA_000015165.1	GCF_000015165.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; unclassified Bradyrhizobium	OK
BBET	GCA_008932115.1	GCF_008932115.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BGQ	GCA_004114975.1	GCF_004114975.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BGZ	GCA_004114955.1	GCF_004114955.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BOT	GCA_002278135.2	GCF_002278135.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BSYM	GCA_002266465.2	GCF_002266465.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BRQ	GCA_002266435.2	GCF_002266435.2	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BIC	GCA_001693385.1	GCF_001693385.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BJP	GCA_000807315.1	GCF_000807315.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
AOL	GCA_000344805.1	GCF_000344805.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
BJU	GCA_000284375.1	GCF_000284375.1	identical	Complete Genome	Alphaproteobacteria	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	OK
